date,code,pcs_m,quantity,location
2017-04-22,G50,0.02,2,bodensee_steinach_dolder_a
2017-04-22,G82,0.04,4,bodensee_steinach_dolder_a
2017-04-22,G126,0.01,1,bodensee_steinach_dolder_a
2018-03-24,G3,0.33,2,glatt_oerlikon_covosn
2018-03-24,G151,0.17,1,glatt_oerlikon_covosn
2018-03-24,G30,0.83,5,glatt_oerlikon_covosn
2018-03-24,G8,0.17,1,glatt_oerlikon_covosn
2018-03-24,G156,0.17,1,glatt_oerlikon_covosn
2018-02-25,G27,0.67,4,glatt_oerlikon_covosn
2018-02-25,G21,0.17,1,glatt_oerlikon_covosn
2018-02-25,G151,0.17,1,glatt_oerlikon_covosn
2018-02-25,G3,0.33,2,glatt_oerlikon_covosn
2018-02-25,G30,0.5,3,glatt_oerlikon_covosn
